INFO [2022-03-04 07:47:44,841] root 6200 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:47:44,847] root 6200 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:47:55,256] root 6210 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:47:55,262] root 6210 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:49:07,578] root 6239 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:49:07,583] root 6239 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:49:12,538] root 6250 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:49:12,544] root 6250 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [Alvo desconhecido]
INFO [2022-03-04 07:49:24,304] root 6264 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:49:24,310] root 6264 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:52:23,762] root 6436 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:52:23,806] root 6436 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:52:39,303] root 6453 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:52:39,309] root 6453 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:52:55,742] root 6464 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:52:55,748] root 6464 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:53:05,254] root 6476 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:53:05,260] root 6476 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:53:39,197] root 6510 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:53:39,203] root 6510 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:54:01,247] root 6522 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:54:01,253] root 6522 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:55:15,549] root 6643 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:55:15,555] root 6643 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 07:56:05,932] root 6722 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
INFO [2022-03-04 07:56:23,184] root 6742 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
INFO [2022-03-04 07:57:15,149] root 6781 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
INFO [2022-03-04 07:57:47,091] root 6863 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
INFO [2022-03-04 07:58:13,521] root 6916 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
INFO [2022-03-04 07:58:52,768] root 6950 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:58:52,773] root 6950 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [Sem modo de Ação]
INFO [2022-03-04 07:59:48,125] root 7026 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:59:48,136] root 7026 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [Sem modo de Ação]
INFO [2022-03-04 07:59:55,946] root 7051 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 07:59:55,957] root 7051 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:03:10,402] root 7271 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:03:10,409] root 7271 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:04:34,413] root 7334 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:04:34,420] root 7334 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:06:51,103] root 7579 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:06:51,112] root 7579 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:15:03,554] root 8693 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:15:03,560] root 8693 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:15:41,500] root 8730 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:15:41,507] root 8730 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:17:54,969] root 8854 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:17:54,976] root 8854 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:19:49,381] root 8942 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:19:49,388] root 8942 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:24:42,573] root 9169 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:24:42,580] root 9169 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:29:48,700] root 9443 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:29:48,707] root 9443 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:32:25,429] root 9511 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:32:25,436] root 9511 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:32:31,629] root 9514 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
ERROR [2022-03-04 08:32:31,636] root 9514 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Sem alvo]]
INFO [2022-03-04 08:33:14,898] root 9543 /home/CECULAR/MD-SPIDER/projecto-final-curso-main/MD-SPIDER/spider [[Start on -Linux-5.15.0-kali3-amd64-x86_64-with-glibc2.33 ]]
